asset_id,timestamp,oil_temperature,load_percentage,vibration,current_unbalance,voltage_deviation,partial_discharge,ambient_temperature,oil_quality,asset_age,capacity_mva,customers_served,criticality,redundancy_level,previous_failures,days_since_maintenance,failure_within_24h,failure_within_72h,degradation_mode
TR-1042,2025-04-16T12:00:00,92.1,90.3,4.87,6.94,6.57,0.801,38.4,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T13:00:00,93.5,89.4,5.12,7.08,6.4,0.804,38.6,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T14:00:00,93.2,89.5,4.82,7.27,6.67,0.824,38.9,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T15:00:00,93.8,91.4,4.55,7.1,6.53,0.832,39.2,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T16:00:00,95.6,91.1,4.74,7.25,6.63,0.814,39.3,99.3,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T17:00:00,96.7,89.7,4.74,7.18,6.16,0.791,38.5,99.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T18:00:00,94.9,89.3,4.93,6.68,6.59,0.825,38.9,98.6,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T19:00:00,96.1,92.7,4.93,7.31,6.79,0.796,38.8,99.1,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T20:00:00,97.9,95.6,4.86,6.9,6.07,0.825,38.6,99.6,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T21:00:00,94.8,93.0,4.82,7.49,6.4,0.796,38.4,99.3,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T22:00:00,93.2,89.9,4.73,6.83,6.24,0.823,39.4,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-16T23:00:00,93.3,86.1,4.59,7.7,6.84,0.816,38.1,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T00:00:00,93.7,88.2,4.9,6.58,6.49,0.803,37.4,99.1,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T01:00:00,92.2,88.6,5.0,7.15,6.36,0.816,37.8,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T02:00:00,89.3,87.6,4.98,6.98,6.37,0.777,37.3,98.9,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T03:00:00,91.7,84.0,4.64,7.75,7.08,0.797,37.0,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T04:00:00,88.3,85.7,4.83,7.03,6.59,0.84,37.0,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T05:00:00,88.6,84.5,4.63,7.56,6.55,0.83,36.0,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T06:00:00,88.2,88.9,4.42,7.13,6.54,0.826,36.6,98.2,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
TR-1042,2025-04-17T07:00:00,89.7,87.2,5.06,7.55,6.59,0.855,37.1,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,none
