asset_id,timestamp,oil_temperature,load_percentage,vibration,current_unbalance,voltage_deviation,partial_discharge,ambient_temperature,oil_quality,asset_age,capacity_mva,customers_served,criticality,redundancy_level,previous_failures,days_since_maintenance,failure_within_24h,failure_within_72h,degradation_mode
TR-1042,2025-04-16T12:00:00,91.8,87.4,4.76,7.33,6.57,0.826,38.2,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T13:00:00,93.7,89.6,4.87,7.03,6.54,0.822,38.4,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T14:00:00,93.4,88.6,4.98,6.98,6.67,0.795,38.5,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T15:00:00,93.7,88.0,4.86,7.24,6.62,0.814,38.9,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T16:00:00,95.5,90.5,4.85,7.37,6.48,0.814,39.0,98.7,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T17:00:00,96.6,88.5,4.78,6.96,6.44,0.833,38.5,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T18:00:00,95.8,88.5,4.82,7.25,6.74,0.833,39.3,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T19:00:00,94.8,90.4,4.9,7.7,7.02,0.826,38.8,98.3,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T20:00:00,94.4,87.2,4.74,7.19,6.82,0.822,39.4,99.6,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T21:00:00,95.2,89.2,4.8,7.04,6.58,0.813,38.4,99.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T22:00:00,95.1,89.6,4.98,7.25,6.28,0.799,39.3,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-16T23:00:00,93.0,88.3,4.84,7.55,6.52,0.83,37.5,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T00:00:00,92.5,87.3,4.76,7.45,6.6,0.84,37.9,99.4,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T01:00:00,90.1,87.1,4.62,7.05,6.56,0.838,37.4,99.5,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T02:00:00,89.9,84.4,4.62,7.73,6.27,0.804,38.1,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T03:00:00,88.8,86.4,4.64,7.14,6.45,0.823,36.9,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T04:00:00,91.3,89.4,4.99,7.3,6.36,0.803,37.4,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T05:00:00,87.8,85.9,4.77,7.24,6.76,0.782,36.7,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T06:00:00,87.9,84.4,4.76,7.53,6.6,0.846,37.3,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T07:00:00,88.9,85.8,4.94,7.39,6.83,0.831,36.2,99.9,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T08:00:00,87.9,86.7,4.94,7.35,6.09,0.825,37.0,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T09:00:00,88.6,87.8,4.93,7.26,6.54,0.824,36.8,99.9,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T10:00:00,90.2,88.3,4.8,7.53,6.65,0.833,37.6,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T11:00:00,89.4,86.3,4.85,7.33,6.55,0.799,36.8,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T12:00:00,92.5,86.9,4.78,7.25,6.65,0.814,38.2,99.8,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T13:00:00,92.8,88.8,4.93,7.53,6.49,0.84,38.3,99.3,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T14:00:00,93.0,89.7,4.78,6.74,6.67,0.811,38.4,99.1,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T15:00:00,95.9,88.9,4.93,7.3,6.48,0.825,39.6,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T16:00:00,93.9,86.6,4.67,7.09,6.45,0.849,39.5,99.2,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T17:00:00,95.9,93.8,4.83,7.56,6.52,0.829,39.1,99.9,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T18:00:00,95.7,90.7,4.76,7.43,6.17,0.815,38.4,98.8,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T19:00:00,95.3,90.6,4.61,7.13,6.52,0.819,39.5,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T20:00:00,96.9,89.1,4.97,7.23,6.55,0.843,38.9,99.2,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T21:00:00,93.1,88.2,4.83,7.16,6.45,0.818,38.9,99.2,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T22:00:00,93.2,87.5,4.65,6.98,6.49,0.825,38.6,99.4,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-17T23:00:00,93.3,87.2,4.82,6.84,6.74,0.839,38.2,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T00:00:00,92.2,90.4,4.65,7.26,6.83,0.795,37.5,99.7,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T01:00:00,90.3,88.3,4.89,7.31,6.2,0.828,37.3,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T02:00:00,89.6,87.0,4.83,7.05,6.58,0.812,37.2,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T03:00:00,89.0,84.9,4.87,7.33,6.23,0.83,38.0,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T04:00:00,90.4,86.0,5.0,6.92,6.61,0.825,36.6,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T05:00:00,86.5,86.8,4.74,6.56,6.64,0.824,36.6,98.9,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T06:00:00,88.6,87.9,4.74,7.09,6.41,0.832,37.4,99.6,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T07:00:00,87.2,84.7,4.78,7.48,6.46,0.805,36.8,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T08:00:00,88.5,86.0,4.65,6.81,6.62,0.815,36.6,99.9,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T09:00:00,88.1,87.3,4.81,7.34,6.47,0.824,37.2,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T10:00:00,90.9,89.7,4.86,7.11,6.34,0.82,37.3,99.2,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T11:00:00,91.6,88.6,4.88,7.29,6.18,0.821,37.5,99.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T12:00:00,92.4,88.1,4.64,7.19,6.49,0.847,38.4,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T13:00:00,93.4,85.8,4.79,7.45,6.69,0.835,38.3,99.3,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T14:00:00,94.2,88.7,4.73,7.26,6.41,0.811,38.7,99.7,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T15:00:00,92.7,86.6,4.8,7.21,6.48,0.838,37.8,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T16:00:00,95.1,92.6,4.8,7.64,6.48,0.822,39.2,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T17:00:00,95.9,90.4,4.85,6.72,6.62,0.805,38.6,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T18:00:00,95.0,91.1,4.81,6.73,6.15,0.82,39.1,99.9,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T19:00:00,95.4,86.2,4.6,6.99,6.4,0.814,39.2,99.8,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T20:00:00,97.1,88.8,5.05,7.14,6.27,0.821,38.6,99.4,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T21:00:00,96.2,86.6,4.76,6.98,6.52,0.811,38.8,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
TR-1042,2025-04-18T22:00:00,94.3,89.9,4.66,7.18,6.67,0.833,38.7,100.0,17.0,25.0,8420,0.92,0.3,3,180,0,0,combined
