asset_id,timestamp,temperature,humidity,precipitation,wind_speed,wind_gust,pressure,cloud_cover,weather_code
TR-1042,2025-04-16T12:00:00,28.4,38.8,6.2,14.6,21.9,1014.3,3.1,0
TR-1042,2025-04-16T13:00:00,30.6,67.5,3.5,4.2,10.2,1019.0,21.9,0
TR-1042,2025-04-16T14:00:00,34.0,55.6,3.7,10.9,17.6,1007.8,8.0,0
TR-1042,2025-04-16T15:00:00,44.4,75.8,55.6,23.2,32.3,990.9,82.0,1
TR-1042,2025-04-16T16:00:00,40.9,82.5,34.8,30.8,40.5,992.3,92.4,1
TR-1042,2025-04-16T17:00:00,34.6,62.3,6.2,4.7,12.5,1014.0,19.1,0
TR-1042,2025-04-16T18:00:00,35.0,59.2,4.7,7.0,12.8,1006.7,29.1,0
TR-1042,2025-04-16T19:00:00,28.2,51.7,7.7,9.3,11.4,1020.7,5.8,0
TR-1042,2025-04-16T20:00:00,22.4,54.9,1.1,12.6,19.9,1007.2,47.1,0
TR-1042,2025-04-16T21:00:00,36.9,43.1,7.6,12.3,16.2,1015.3,17.9,0
TR-1042,2025-04-16T22:00:00,31.3,46.8,5.3,5.4,12.1,1006.9,52.3,0
TR-1042,2025-04-16T23:00:00,25.5,52.5,7.8,5.3,12.0,1007.9,1.0,0
TR-1042,2025-04-17T00:00:00,34.9,71.7,1.0,11.3,14.1,1013.0,21.1,0
TR-1042,2025-04-17T01:00:00,24.5,72.0,4.8,6.9,14.7,1021.1,32.7,0
TR-1042,2025-04-17T02:00:00,32.9,59.3,3.4,6.8,11.0,1022.3,31.8,0
TR-1042,2025-04-17T03:00:00,27.6,42.8,1.3,3.0,10.5,1008.1,8.1,0
TR-1042,2025-04-17T04:00:00,37.8,40.7,1.5,12.9,15.2,1010.0,40.0,0
TR-1042,2025-04-17T05:00:00,39.6,65.1,5.1,12.2,18.9,1007.7,37.5,0
TR-1042,2025-04-17T06:00:00,26.2,47.1,2.6,6.1,10.3,1018.7,20.8,0
TR-1042,2025-04-17T07:00:00,33.4,61.3,1.6,5.0,11.4,1022.2,9.2,0
TR-1042,2025-04-17T08:00:00,36.1,56.6,2.0,12.1,19.8,1006.9,43.1,0
TR-1042,2025-04-17T09:00:00,38.8,59.6,0.7,2.7,5.4,1013.4,54.2,0
TR-1042,2025-04-17T10:00:00,38.9,54.9,5.8,7.1,11.4,1023.7,54.6,0
TR-1042,2025-04-17T11:00:00,32.6,67.1,3.6,10.6,12.7,1010.9,32.1,0
TR-1042,2025-04-17T12:00:00,23.9,34.1,5.2,15.0,21.0,1022.9,2.0,0
TR-1042,2025-04-17T13:00:00,46.1,71.4,55.5,32.0,39.4,1002.0,98.2,1
TR-1042,2025-04-17T14:00:00,25.5,57.5,7.8,4.8,11.1,1006.1,43.1,0
TR-1042,2025-04-17T15:00:00,33.5,43.6,7.6,9.0,11.9,1016.6,49.0,0
TR-1042,2025-04-17T16:00:00,27.5,48.5,5.1,7.0,12.7,1013.2,15.2,0
TR-1042,2025-04-17T17:00:00,33.7,54.7,6.3,10.1,14.0,1013.6,43.8,0
TR-1042,2025-04-17T18:00:00,37.1,67.9,0.6,7.9,10.6,1006.1,19.6,0
TR-1042,2025-04-17T19:00:00,32.8,74.8,7.7,2.7,6.9,1020.4,21.8,0
TR-1042,2025-04-17T20:00:00,37.1,74.6,6.7,14.8,20.2,1007.8,31.4,0
TR-1042,2025-04-17T21:00:00,42.3,82.3,47.6,24.4,34.3,991.3,81.1,1
TR-1042,2025-04-17T22:00:00,37.2,52.7,6.8,7.8,14.4,1023.2,41.1,0
TR-1042,2025-04-17T23:00:00,22.4,56.9,2.5,14.0,18.7,1005.1,19.5,0
TR-1042,2025-04-18T00:00:00,36.1,49.8,5.9,13.1,15.8,1016.1,45.8,0
TR-1042,2025-04-18T01:00:00,30.4,33.8,6.3,14.7,19.2,1016.1,56.1,0
TR-1042,2025-04-18T02:00:00,37.6,40.6,0.4,11.4,18.2,1017.4,60.1,0
TR-1042,2025-04-18T03:00:00,28.3,47.9,4.7,12.9,16.7,1010.5,62.1,0
TR-1042,2025-04-18T04:00:00,32.3,47.7,4.8,15.0,21.2,1023.3,34.8,0
TR-1042,2025-04-18T05:00:00,39.3,70.4,2.3,11.5,16.8,1009.7,22.8,0
TR-1042,2025-04-18T06:00:00,37.7,65.3,6.3,5.0,10.3,1013.8,33.3,0
TR-1042,2025-04-18T07:00:00,29.8,31.8,0.8,1.5,9.3,1009.9,4.6,0
TR-1042,2025-04-18T08:00:00,27.4,35.0,0.0,6.5,11.0,1022.3,0.1,0
TR-1042,2025-04-18T09:00:00,30.6,71.9,2.6,10.6,13.9,1006.0,32.3,0
TR-1042,2025-04-18T10:00:00,33.2,68.2,4.7,4.4,9.8,1005.1,59.7,0
TR-1042,2025-04-18T11:00:00,28.5,57.0,6.4,12.4,16.3,1009.3,29.0,0
TR-1042,2025-04-18T12:00:00,27.7,36.5,1.0,13.5,19.0,1018.9,12.1,0
TR-1042,2025-04-18T13:00:00,31.7,56.8,0.4,9.7,13.3,1010.9,46.5,0
TR-1042,2025-04-18T14:00:00,34.2,74.3,6.1,11.2,16.6,1013.4,36.0,0
TR-1042,2025-04-18T15:00:00,39.3,71.1,6.9,3.5,6.7,1009.2,32.9,0
TR-1042,2025-04-18T16:00:00,38.3,39.2,0.8,13.1,19.9,1019.9,1.6,0
TR-1042,2025-04-18T17:00:00,32.8,47.0,1.6,14.1,18.9,1012.9,9.2,0
TR-1042,2025-04-18T18:00:00,25.6,41.7,3.7,3.6,8.7,1005.9,33.7,0
TR-1042,2025-04-18T19:00:00,39.7,36.2,0.6,14.8,22.5,1011.1,38.7,0
TR-1042,2025-04-18T20:00:00,35.2,64.2,3.2,5.1,9.4,1020.4,14.5,0
TR-1042,2025-04-18T21:00:00,26.4,45.3,7.0,10.9,18.1,1015.6,17.4,0
TR-1042,2025-04-18T22:00:00,29.8,51.7,7.6,2.8,5.6,1024.1,11.5,0
TR-1042,2025-04-18T23:00:00,29.2,66.8,7.9,8.4,11.6,1019.8,32.8,0
TR-1042,2025-04-19T00:00:00,25.8,30.1,5.1,13.9,18.6,1024.9,19.7,0
